"id_mensagem","id_atendimento","conteudo_texto","data_hora_envio","remetente_tipo","tipo_analise"
204,6,"nao esquece a nf do celta","2025-12-18 16:21:13","Cliente",NULL
207,6,"para snick","2025-12-18 16:21:16","Cliente",NULL
210,2,"84665521034","2025-12-18 16:23:34","Cliente",NULL
213,18,"17/02/1993","2025-12-18 16:23:46","Cliente",NULL
214,19,"17/02/1993","2025-12-18 16:23:46","Cliente",NULL
216,19,"51992869981","2025-12-18 16:24:02","Cliente",NULL
219,20,"Número errado","2025-12-18 17:20:15","Cliente",NULL
220,22,"Número errado","2025-12-18 17:20:15","Cliente",NULL
221,21,"Número errado","2025-12-18 17:20:15","Cliente",NULL
222,23,"Olá tudo bem","2025-12-18 17:32:40","Cliente",NULL
223,24,"Olá tudo bem","2025-12-18 17:32:40","Cliente",NULL
224,25,"Olá tudo bem","2025-12-18 17:32:40","Cliente",NULL
225,16,"Podemos agendar amanhã às 8:00 então?","2025-12-18 17:42:40","Cliente",NULL
226,17,"Podemos agendar amanhã às 8:00 então?","2025-12-18 17:42:40","Cliente",NULL
231,16,"Vou ver o Fox vermelho","2025-12-18 17:43:08","Cliente",NULL
232,17,"Vou ver o Fox vermelho","2025-12-18 17:43:08","Cliente",NULL
237,26,"Só estava esperando para mostrar a minha mulher kkk","2025-12-18 17:43:31","Cliente",NULL
238,27,"Só estava esperando para mostrar a minha mulher kkk","2025-12-18 17:43:31","Cliente",NULL
239,28,"Só estava esperando para mostrar a minha mulher kkk","2025-12-18 17:43:31","Cliente",NULL
240,26,"Tu tens algum outro que talvez me interesse nessa mesma condição de preço será?","2025-12-18 17:44:17","Cliente",NULL
241,27,"Tu tens algum outro que talvez me interesse nessa mesma condição de preço será?","2025-12-18 17:44:17","Cliente",NULL
242,28,"Tu tens algum outro que talvez me interesse nessa mesma condição de preço será?","2025-12-18 17:44:17","Cliente",NULL
249,29,"E o IPVA 2026 fica por conta de vocês?","2025-12-18 17:44:31","Cliente",NULL
252,30,"Ola","2025-12-18 17:48:13","Cliente",NULL
253,31,"Ola","2025-12-18 17:48:13","Cliente",NULL
254,32,"Ola","2025-12-18 17:48:13","Cliente",NULL
255,30,"Quanto chega na CRV sem troca a vista ?","2025-12-18 17:50:10","Cliente",NULL
256,31,"Quanto chega na CRV sem troca a vista ?","2025-12-18 17:50:10","Cliente",NULL
257,32,"Quanto chega na CRV sem troca a vista ?","2025-12-18 17:50:10","Cliente",NULL
264,33,"Tá certo então","2025-12-18 17:53:26","Cliente",NULL
265,34,"Tá certo então","2025-12-18 17:53:26","Cliente",NULL
266,35,"Tá certo então","2025-12-18 17:53:26","Cliente",NULL
267,33,"Amanhã às 08:00 estarei chegando","2025-12-18 17:53:36","Cliente",NULL
268,34,"Amanhã às 08:00 estarei chegando","2025-12-18 17:53:36","Cliente",NULL
269,35,"Amanhã às 08:00 estarei chegando","2025-12-18 17:53:36","Cliente",NULL
276,37,"Olá! Quero comprar a Honda CRV com a Snick Motors!","2025-12-18 18:33:07","Cliente",NULL
277,36,"Olá! Quero comprar a Honda CRV com a Snick Motors!","2025-12-18 18:33:07","Cliente",NULL
280,38,"Pode sim","2025-12-18 23:31:33","Cliente",NULL
281,39,"Pode sim","2025-12-18 23:31:33","Cliente",NULL
282,40,"Pode sim","2025-12-18 23:31:33","Cliente",NULL
283,39,"Lindo","2025-12-18 23:38:07","Cliente",NULL
284,38,"Lindo","2025-12-18 23:38:07","Cliente",NULL
285,40,"Lindo","2025-12-18 23:38:07","Cliente",NULL
292,39,"Sou de Tramandaí","2025-12-18 23:50:46","Cliente",NULL
293,38,"Sou de Tramandaí","2025-12-18 23:50:46","Cliente",NULL
294,40,"Sou de Tramandaí","2025-12-18 23:50:46","Cliente",NULL
301,39,"Te ho uma Ecosport 2013 e uma moto pra negócio","2025-12-18 23:51:02","Cliente",NULL
302,38,"Te ho uma Ecosport 2013 e uma moto pra negócio","2025-12-18 23:51:02","Cliente",NULL
303,40,"Te ho uma Ecosport 2013 e uma moto pra negócio","2025-12-18 23:51:02","Cliente",NULL
310,42,"Tudo bem e  você?","2025-12-19 07:43:20","Cliente",NULL
311,43,"Tudo bem e  você?","2025-12-19 07:43:20","Cliente",NULL
312,41,"Tudo bem e  você?","2025-12-19 07:43:20","Cliente",NULL
313,42,"Puts, estou a procura de um Fiat argo mesmo, tem algo de new fiesta ou HB20?","2025-12-19 07:44:04","Cliente",NULL
314,41,"Puts, estou a procura de um Fiat argo mesmo, tem algo de new fiesta ou HB20?","2025-12-19 07:44:04","Cliente",NULL
315,43,"Puts, estou a procura de um Fiat argo mesmo, tem algo de new fiesta ou HB20?","2025-12-19 07:44:04","Cliente",NULL
322,44,"Esseeeee","2025-12-19 08:06:50","Cliente",NULL
323,45,"Esseeeee","2025-12-19 08:06:50","Cliente",NULL
324,46,"Esseeeee","2025-12-19 08:06:50","Cliente",NULL
325,47,"Olá! Quero comprar a Meriva com a Snick Motors!","2025-12-19 08:12:43","Cliente",NULL
326,48,"Olá! Quero comprar a Meriva com a Snick Motors!","2025-12-19 08:12:43","Cliente",NULL
327,49,"Olá! Quero comprar a Meriva com a Snick Motors!","2025-12-19 08:12:43","Cliente",NULL
328,50,"Bom dia","2025-12-19 08:41:53","Cliente",NULL
329,51,"Bom dia","2025-12-19 08:41:53","Cliente",NULL
332,50,"vem pra tirar a foto","2025-12-19 08:42:01","Atendente",NULL
333,51,"vem pra tirar a foto","2025-12-19 08:42:01","Atendente",NULL
336,50,"Chegando","2025-12-19 08:42:09","Cliente",NULL
337,51,"Chegando","2025-12-19 08:42:09","Cliente",NULL
342,50,"q ja vou mandar embora de carro novo","2025-12-19 08:42:10","Atendente",NULL
343,51,"q ja vou mandar embora de carro novo","2025-12-19 08:42:10","Atendente",NULL
346,50,"kkkk","2025-12-19 08:42:11","Atendente",NULL
347,51,"kkkk","2025-12-19 08:42:11","Atendente",NULL
350,50,"Desculpa, não vi tocando. To finalizando a ficha","2025-12-19 08:44:57","Atendente",NULL
351,51,"Desculpa, não vi tocando. To finalizando a ficha","2025-12-19 08:44:57","Atendente",NULL
354,44,"bainnn","2025-12-19 08:56:07","Atendente",NULL
355,45,"bainnn","2025-12-19 08:56:07","Atendente",NULL
356,46,"bainnn","2025-12-19 08:56:07","Atendente",NULL
360,44,"c voz fofa","2025-12-19 08:56:11","Atendente",NULL
361,45,"c voz fofa","2025-12-19 08:56:11","Atendente",NULL
362,46,"c voz fofa","2025-12-19 08:56:11","Atendente",NULL
366,44,"na nossa frente","2025-12-19 08:56:16","Atendente",NULL
367,45,"na nossa frente","2025-12-19 08:56:16","Atendente",NULL
368,46,"na nossa frente","2025-12-19 08:56:16","Atendente",NULL
372,44,"ai eh foda","2025-12-19 08:56:17","Atendente",NULL
373,45,"ai eh foda","2025-12-19 08:56:17","Atendente",NULL
374,46,"ai eh foda","2025-12-19 08:56:17","Atendente",NULL
378,44,"SOBREMO","2025-12-19 08:56:21","Atendente",NULL
379,45,"SOBREMO","2025-12-19 08:56:21","Atendente",NULL
380,46,"SOBREMO","2025-12-19 08:56:21","Atendente",NULL
384,44,"Vamo deixar eles sozinho","2025-12-19 08:56:39","Cliente",NULL
385,45,"Vamo deixar eles sozinho","2025-12-19 08:56:39","Cliente",NULL
386,46,"Vamo deixar eles sozinho","2025-12-19 08:56:39","Cliente",NULL
393,47,"Ok","2025-12-19 09:05:48","Cliente",NULL
394,48,"Ok","2025-12-19 09:05:48","Cliente",NULL
395,49,"Ok","2025-12-19 09:05:48","Cliente",NULL
402,52,"Bom dia ela ainda não teve o retorno do banco","2025-12-19 09:20:13","Cliente",NULL
403,53,"Bom dia ela ainda não teve o retorno do banco","2025-12-19 09:20:13","Cliente",NULL
406,52,"Assim que tiver o retorno te aviso certinho as condições","2025-12-19 09:20:39","Cliente",NULL
407,53,"Assim que tiver o retorno te aviso certinho as condições","2025-12-19 09:20:39","Cliente",NULL
412,5,"bommm dia","2025-12-19 09:30:59","Atendente",NULL
414,5,"cair pagamento ai","2025-12-19 09:31:02","Atendente",NULL
416,5,"51900","2025-12-19 09:31:04","Atendente",NULL
418,5,"do santander","2025-12-19 09:31:06","Atendente",NULL
420,42,"Ele é sedan né","2025-12-19 09:31:51","Cliente",NULL
421,41,"Ele é sedan né","2025-12-19 09:31:51","Cliente",NULL
422,43,"Ele é sedan né","2025-12-19 09:31:51","Cliente",NULL
429,50,"acho q a tia ta braba","2025-12-19 09:39:28","Atendente",NULL
430,51,"acho q a tia ta braba","2025-12-19 09:39:28","Atendente",NULL
433,50,"pelo almoço de terça","2025-12-19 09:39:32","Atendente",NULL
434,51,"pelo almoço de terça","2025-12-19 09:39:32","Atendente",NULL
437,50,"ficou","2025-12-19 09:40:04","Atendente",NULL
438,51,"ficou","2025-12-19 09:40:04","Atendente",NULL
441,50,"foi embora p* da vida","2025-12-19 09:40:12","Atendente",NULL
442,51,"foi embora p* da vida","2025-12-19 09:40:12","Atendente",NULL
445,50,"deve ser isso","2025-12-19 09:40:14","Atendente",NULL
446,51,"deve ser isso","2025-12-19 09:40:14","Atendente",NULL
449,5,"Oi","2025-12-19 09:41:51","Cliente",NULL
452,5,"Chique","2025-12-19 09:41:53","Cliente",NULL
455,5,"Vou olhar","2025-12-19 09:41:56","Cliente",NULL
458,5,"Entrou","2025-12-19 09:43:02","Cliente",NULL
461,5,"uhuuuuul","2025-12-19 09:43:14","Atendente",NULL
463,50,"já tá pago financiamento do fox","2025-12-19 09:45:31","Atendente",NULL
464,51,"já tá pago financiamento do fox","2025-12-19 09:45:31","Atendente",NULL
467,42,"Isso","2025-12-19 10:02:41","Cliente",NULL
468,41,"Isso","2025-12-19 10:02:41","Cliente",NULL
469,43,"Isso","2025-12-19 10:02:41","Cliente",NULL
476,50,"Fé que vai dar certo","2025-12-19 10:07:29","Atendente",NULL
477,51,"Fé que vai dar certo","2025-12-19 10:07:29","Atendente",NULL
480,44,"Como tá aí?","2025-12-19 10:07:36","Cliente",NULL
481,45,"Como tá aí?","2025-12-19 10:07:36","Cliente",NULL
482,46,"Como tá aí?","2025-12-19 10:07:36","Cliente",NULL
489,44,"De boas","2025-12-19 10:07:45","Atendente",NULL
490,45,"De boas","2025-12-19 10:07:45","Atendente",NULL
491,46,"De boas","2025-12-19 10:07:45","Atendente",NULL
495,44,"Acho que vai demorar um pouquinho","2025-12-19 10:07:50","Cliente",NULL
496,45,"Acho que vai demorar um pouquinho","2025-12-19 10:07:50","Cliente",NULL
497,46,"Acho que vai demorar um pouquinho","2025-12-19 10:07:50","Cliente",NULL
504,44,"Bem tranquilo","2025-12-19 10:08:15","Atendente",NULL
505,45,"Bem tranquilo","2025-12-19 10:08:15","Atendente",NULL
506,46,"Bem tranquilo","2025-12-19 10:08:15","Atendente",NULL
510,44,"Blz","2025-12-19 10:08:20","Cliente",NULL
511,45,"Blz","2025-12-19 10:08:20","Cliente",NULL
512,46,"Blz","2025-12-19 10:08:20","Cliente",NULL
519,55,"Olá! Quero comprar o Chevrolet Onix com a Snick Motors!","2025-12-19 10:09:44","Cliente",NULL
520,54,"Olá! Quero comprar o Chevrolet Onix com a Snick Motors!","2025-12-19 10:09:44","Cliente",NULL
521,56,"Olá! Quero comprar o Chevrolet Onix com a Snick Motors!","2025-12-19 10:09:44","Cliente",NULL
522,50,"Coloquei 100 de gasolina","2025-12-19 10:10:14","Cliente",NULL
523,51,"Coloquei 100 de gasolina","2025-12-19 10:10:14","Cliente",NULL
528,54,"Tudo bem...e vc?","2025-12-19 10:10:24","Cliente",NULL
529,55,"Tudo bem...e vc?","2025-12-19 10:10:24","Cliente",NULL
530,56,"Tudo bem...e vc?","2025-12-19 10:10:24","Cliente",NULL
537,50,"despachante veio pegar o celta","2025-12-19 10:11:34","Atendente",NULL
538,51,"despachante veio pegar o celta","2025-12-19 10:11:34","Atendente",NULL
541,44,"o despachante veio pegar o celta","2025-12-19 10:14:48","Atendente",NULL
542,45,"o despachante veio pegar o celta","2025-12-19 10:14:48","Atendente",NULL
543,46,"o despachante veio pegar o celta","2025-12-19 10:14:48","Atendente",NULL
547,44,"tirou a bmw","2025-12-19 10:14:51","Atendente",NULL
548,45,"tirou a bmw","2025-12-19 10:14:51","Atendente",NULL
549,46,"tirou a bmw","2025-12-19 10:14:51","Atendente",NULL
553,44,"só q agora ela ta na rua","2025-12-19 10:14:58","Atendente",NULL
554,45,"só q agora ela ta na rua","2025-12-19 10:14:58","Atendente",NULL
555,46,"só q agora ela ta na rua","2025-12-19 10:14:58","Atendente",NULL
559,44,"Faz parte","2025-12-19 10:15:17","Cliente",NULL
560,45,"Faz parte","2025-12-19 10:15:17","Cliente",NULL
561,46,"Faz parte","2025-12-19 10:15:17","Cliente",NULL
568,44,"Acho que tem mais um na minha frente","2025-12-19 10:15:34","Cliente",NULL
569,45,"Acho que tem mais um na minha frente","2025-12-19 10:15:34","Cliente",NULL
570,46,"Acho que tem mais um na minha frente","2025-12-19 10:15:34","Cliente",NULL
577,44,"Blza","2025-12-19 10:17:44","Atendente",NULL
578,45,"Blza","2025-12-19 10:17:44","Atendente",NULL
579,46,"Blza","2025-12-19 10:17:44","Atendente",NULL
583,42,"Sim","2025-12-19 10:19:50","Cliente",NULL
584,41,"Sim","2025-12-19 10:19:50","Cliente",NULL
585,43,"Sim","2025-12-19 10:19:50","Cliente",NULL
592,50,"E já vou trocar o óleo e filtro dele","2025-12-19 10:34:15","Cliente",NULL
594,51,"E já vou trocar o óleo e filtro dele","2025-12-19 10:34:15","Cliente",NULL
598,50,"TOP","2025-12-19 10:34:29","Atendente",NULL
599,51,"TOP","2025-12-19 10:34:29","Atendente",NULL
602,23,"Oii, não seria só no o mesmo, obrigada","2025-12-19 10:36:15","Cliente",NULL
603,24,"Oii, não seria só no o mesmo, obrigada","2025-12-19 10:36:15","Cliente",NULL
604,25,"Oii, não seria só no o mesmo, obrigada","2025-12-19 10:36:15","Cliente",NULL
611,23,"Meu","2025-12-19 10:36:23","Cliente",NULL
612,24,"Meu","2025-12-19 10:36:23","Cliente",NULL
613,25,"Meu","2025-12-19 10:36:23","Cliente",NULL
620,42,"Obrigada, vou dar mais uma analisada qualquer coisa te retorno","2025-12-19 10:37:19","Cliente",NULL
621,41,"Obrigada, vou dar mais uma analisada qualquer coisa te retorno","2025-12-19 10:37:19","Cliente",NULL
622,43,"Obrigada, vou dar mais uma analisada qualquer coisa te retorno","2025-12-19 10:37:19","Cliente",NULL
629,44,"Tô pagando","2025-12-19 10:39:47","Cliente",NULL
630,45,"Tô pagando","2025-12-19 10:39:47","Cliente",NULL
631,46,"Tô pagando","2025-12-19 10:39:47","Cliente",NULL
638,44,"Já tô indo","2025-12-19 10:39:49","Cliente",NULL
639,45,"Já tô indo","2025-12-19 10:39:49","Cliente",NULL
640,46,"Já tô indo","2025-12-19 10:39:49","Cliente",NULL
647,44,"Tá bem","2025-12-19 10:40:10","Atendente",NULL
648,45,"Tá bem","2025-12-19 10:40:10","Atendente",NULL
649,46,"Tá bem","2025-12-19 10:40:10","Atendente",NULL
653,50,"Show","2025-12-19 11:10:05","Atendente",NULL
655,51,"Show","2025-12-19 11:10:05","Atendente",NULL
657,50,"Tu é o cara","2025-12-19 11:10:09","Atendente",NULL
658,51,"Tu é o cara","2025-12-19 11:10:09","Atendente",NULL
661,50,"boooa!","2025-12-19 11:11:03","Atendente",NULL
662,51,"boooa!","2025-12-19 11:11:03","Atendente",NULL
665,50,"Não arredondou em 45?","2025-12-19 11:11:23","Atendente",NULL
666,51,"Não arredondou em 45?","2025-12-19 11:11:23","Atendente",NULL
669,50,"Bah","2025-12-19 11:11:24","Atendente",NULL
670,51,"Bah","2025-12-19 11:11:24","Atendente",NULL
673,50,"Não quero menos de 46","2025-12-19 11:11:27","Cliente",NULL
674,51,"Não quero menos de 46","2025-12-19 11:11:27","Cliente",NULL
679,50,"Já baixei bastante do que queria","2025-12-19 11:11:27","Cliente",NULL
680,51,"Já baixei bastante do que queria","2025-12-19 11:11:27","Cliente",NULL
685,50,"🙄🙄🙄","2025-12-19 11:11:45","Atendente",NULL
686,51,"🙄🙄🙄","2025-12-19 11:11:45","Atendente",NULL
689,54,"Pensei que era na Campos Neto.  Próximo da marsul","2025-12-19 11:48:32","Cliente",NULL
692,55,"Pensei que era na Campos Neto.  Próximo da marsul","2025-12-19 11:48:32","Cliente",NULL
694,56,"Pensei que era na Campos Neto.  Próximo da marsul","2025-12-19 11:48:32","Cliente",NULL
698,5,"Isso?","2025-12-19 12:04:43","Atendente",NULL
700,47,"Canoas","2025-12-19 12:04:50","Cliente",NULL
701,48,"Canoas","2025-12-19 12:04:50","Cliente",NULL
702,49,"Canoas","2025-12-19 12:04:50","Cliente",NULL
709,47,"Sim sim claro","2025-12-19 12:05:27","Cliente",NULL
710,48,"Sim sim claro","2025-12-19 12:05:27","Cliente",NULL
